"site_id","name","cluster_lon","cluster_lat","mean_abundance_total_post","mean_abundance_total_pre","mean_abundance_total_control","mean_abundance_new_post","mean_abundance_new_pre","mean_abundance_new_control","mean_abundance_old_post","mean_abundance_old_pre","mean_abundance_old_control","median_abundance_total_post","median_abundance_total_pre","median_abundance_total_control","median_abundance_new_post","median_abundance_new_pre","median_abundance_new_control","median_abundance_old_post","median_abundance_old_pre","median_abundance_old_control","pcs_change_mean_total","pcs_change_mean_new","pcs_change_mean_old","pcs_change_median_total","pcs_change_median_new","pcs_change_median_old","change_type_mean_total","change_type_mean_new","change_type_mean_old","change_type_median_total","change_type_median_new","change_type_median_old"
1,"CRISTOBAL",-88.87024,30.392169,1,0,NA,0,0,NA,1,0,NA,1,0,NA,0,0,NA,1,0,NA,1,0,1,1,0,1,"accumulation","no_change","accumulation","accumulation","no_change","accumulation"
2,"ZETA",-89.184796,30.3319025,4,19,NA,0,0,NA,4,19,NA,4,19,NA,0,0,NA,4,19,NA,-15,0,-15,-15,0,-15,"depletion","no_change","depletion","depletion","no_change","depletion"
3,"BARRY",-89.327391636076,30.3068862373418,20,3,NA,0,0,NA,20,3,NA,20,3,NA,0,0,NA,20,3,NA,17,0,17,17,0,17,"accumulation","no_change","accumulation","accumulation","no_change","accumulation"
3,"FRANCINE",-89.327391636076,30.3068862373418,4,8,NA,2,0,NA,4,8,NA,4,8,NA,2,0,NA,4,8,NA,-4,2,-4,-4,2,-4,"depletion","accumulation","depletion","depletion","accumulation","depletion"
3,"IDA",-89.327391636076,30.3068862373418,6,4,NA,6,4,NA,0,0,NA,6,4,NA,6,4,NA,0,0,NA,2,2,0,2,2,0,"accumulation","accumulation","no_change","accumulation","accumulation","no_change"
3,"MARCO",-89.327391636076,30.3068862373418,4,1,NA,4,0,NA,1,1,NA,2,1,NA,2,0,NA,2,1,NA,3,4,0,1,2,1,"accumulation","accumulation","no_change","accumulation","accumulation","accumulation"
3,"NESTOR",-89.327391636076,30.3068862373418,12,22,NA,0,6,NA,12,16,NA,12,10,NA,0,0,NA,12,4,NA,-10,-6,-4,2,0,8,"depletion","depletion","depletion","accumulation","no_change","accumulation"
3,"OLGA",-89.327391636076,30.3068862373418,12,28,NA,0,27,NA,12,1,NA,12,35,NA,0,35,NA,12,0,NA,-16,-27,11,-23,-35,12,"depletion","depletion","accumulation","depletion","depletion","accumulation"
3,"SALLY",-89.327391636076,30.3068862373418,2,6,NA,2,5,NA,2,1,NA,2,1,NA,3,1,NA,2,0,NA,-4,-3,1,1,2,2,"depletion","depletion","accumulation","accumulation","accumulation","accumulation"
3,NA,-89.327391636076,30.3068862373418,NA,NA,13,NA,NA,10,NA,NA,4,NA,NA,8,NA,NA,5,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,"DELTA",-89.9945463846154,29.9399062307692,1675,295,NA,0,295,NA,1675,0,NA,1675,295,NA,0,295,NA,1675,0,NA,1380,-295,1675,1380,-295,1675,"accumulation","depletion","accumulation","accumulation","depletion","accumulation"
4,"IDA",-89.9945463846154,29.9399062307692,193,253,NA,193,253,NA,0,0,NA,193,253,NA,193,253,NA,0,0,NA,-60,-60,0,-60,-60,0,"depletion","depletion","no_change","depletion","depletion","no_change"
4,"ZETA",-89.9945463846154,29.9399062307692,1675,295,NA,0,295,NA,1675,0,NA,1675,295,NA,0,295,NA,1675,0,NA,1380,-295,1675,1380,-295,1675,"accumulation","depletion","accumulation","accumulation","depletion","accumulation"
4,NA,-89.9945463846154,29.9399062307692,NA,NA,62,NA,NA,52,NA,NA,10,NA,NA,32,NA,NA,14,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,"DELTA",-90.0183771666667,29.9533323333333,244,659,NA,0,0,NA,244,659,NA,244,659,NA,0,0,NA,244,659,NA,-415,0,-415,-415,0,-415,"depletion","no_change","depletion","depletion","no_change","depletion"
5,NA,-90.0183771666667,29.9533323333333,NA,NA,189,NA,NA,126,NA,NA,63,NA,NA,188,NA,NA,146,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,"MARCO",-90.04972878125,29.95736728125,366,4306,NA,223,3472,NA,240,834,NA,226,4306,NA,0,3472,NA,84,834,NA,-3940,-3249,-594,-4080,-3472,-750,"depletion","depletion","depletion","depletion","depletion","depletion"
6,"SALLY",-90.04972878125,29.95736728125,301,945,NA,192,802,NA,110,240,NA,259,226,NA,0,0,NA,70,84,NA,-644,-610,-130,33,0,-14,"depletion","depletion","depletion","accumulation","no_change","depletion"
6,NA,-90.04972878125,29.95736728125,NA,NA,40,NA,NA,40,NA,NA,0,NA,NA,40,NA,NA,40,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,"FRANCINE",-91.1851219662921,30.4586581235955,20,16,NA,0,0,NA,20,16,NA,20,16,NA,0,0,NA,20,16,NA,4,0,4,4,0,4,"accumulation","no_change","accumulation","accumulation","no_change","accumulation"
7,NA,-91.1851219662921,30.4586581235955,NA,NA,61,NA,NA,13,NA,NA,54,NA,NA,50,NA,NA,0,NA,NA,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,"FRANCINE",-94.04676075,29.673591625,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,"no_change","no_change","no_change","no_change","no_change","no_change"
8,NA,-94.04676075,29.673591625,NA,NA,14,NA,NA,14,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,"BARRY",-94.9829379583333,29.6759498333333,288,7290,NA,0,0,NA,288,7290,NA,288,7290,NA,0,0,NA,288,7290,NA,-7002,0,-7002,-7002,0,-7002,"depletion","no_change","depletion","depletion","no_change","depletion"
9,NA,-94.9829379583333,29.6759498333333,NA,NA,115,NA,NA,93,NA,NA,53,NA,NA,120,NA,NA,120,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,"BARRY",-95.0088200169492,29.6536155338983,272,89,NA,0,0,NA,272,89,NA,272,89,NA,0,0,NA,272,89,NA,183,0,183,183,0,183,"accumulation","no_change","accumulation","accumulation","no_change","accumulation"
10,"IMELDA",-95.0088200169492,29.6536155338983,302,82,NA,64,0,NA,324,82,NA,302,82,NA,64,0,NA,324,82,NA,220,64,242,220,64,242,"accumulation","accumulation","accumulation","accumulation","accumulation","accumulation"
10,"NICHOLAS",-95.0088200169492,29.6536155338983,38,72,NA,30,11,NA,8,62,NA,37,72,NA,22,11,NA,1,62,NA,-34,19,-54,-35,11,-61,"depletion","accumulation","depletion","depletion","accumulation","depletion"
10,NA,-95.0088200169492,29.6536155338983,NA,NA,74,NA,NA,50,NA,NA,43,NA,NA,73,NA,NA,31,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,"NICHOLAS",-94.9880913166667,29.59547585,61,160,NA,35,0,NA,63,160,NA,64,160,NA,0,0,NA,64,160,NA,-99,35,-97,-96,0,-96,"depletion","accumulation","depletion","depletion","no_change","depletion"
11,NA,-94.9880913166667,29.59547585,NA,NA,245,NA,NA,212,NA,NA,38,NA,NA,131,NA,NA,112,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,"NICHOLAS",-95.0196019375,29.55516275,19,10,NA,9,10,NA,18,0,NA,19,10,NA,9,10,NA,18,0,NA,9,-1,18,9,-1,18,"accumulation","depletion","accumulation","accumulation","depletion","accumulation"
12,NA,-95.0196019375,29.55516275,NA,NA,34,NA,NA,0,NA,NA,34,NA,NA,17,NA,NA,0,NA,NA,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,"IMELDA",-95.2942955,29.746623,24,4950,NA,0,0,NA,24,4950,NA,24,4950,NA,0,0,NA,24,4950,NA,-4926,0,-4926,-4926,0,-4926,"depletion","no_change","depletion","depletion","no_change","depletion"
14,"BARRY",-94.8844629,29.38947145,12971,9628,NA,0,0,NA,12971,9628,NA,8068,9628,NA,0,0,NA,8068,9628,NA,3343,0,3343,-1560,0,-1560,"accumulation","no_change","accumulation","depletion","no_change","depletion"
14,NA,-94.8844629,29.38947145,NA,NA,329,NA,NA,0,NA,NA,329,NA,NA,128,NA,NA,0,NA,NA,128,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,"BARRY",-94.829336392054,29.2662303388306,22,21,NA,16,16,NA,6,8,NA,22,18,NA,16,11,NA,6,0,NA,1,0,-2,4,5,6,"accumulation","no_change","depletion","accumulation","accumulation","accumulation"
15,"BERYL",-94.829336392054,29.2662303388306,42,2,NA,42,2,NA,0,0,NA,42,1,NA,42,1,NA,0,0,NA,40,40,0,41,41,0,"accumulation","accumulation","no_change","accumulation","accumulation","no_change"
15,"BETA",-94.829336392054,29.2662303388306,24,55,NA,16,61,NA,12,5,NA,24,50,NA,10,63,NA,10,4,NA,-31,-45,7,-26,-53,6,"depletion","depletion","accumulation","depletion","depletion","accumulation"
15,"DELTA",-94.829336392054,29.2662303388306,30,34,NA,0,44,NA,30,10,NA,30,38,NA,0,45,NA,30,9,NA,-4,-44,20,-8,-45,21,"depletion","depletion","accumulation","depletion","depletion","accumulation"
15,"HANNA",-94.829336392054,29.2662303388306,12,10,NA,2,0,NA,14,10,NA,15,10,NA,0,0,NA,15,10,NA,2,2,4,5,0,5,"accumulation","accumulation","accumulation","accumulation","no_change","accumulation"
15,"IMELDA",-94.829336392054,29.2662303388306,82,11,NA,83,2,NA,5,13,NA,82,6,NA,86,0,NA,0,0,NA,71,81,-8,76,86,0,"accumulation","accumulation","depletion","accumulation","accumulation","no_change"
15,"LAURA",-94.829336392054,29.2662303388306,44,29,NA,57,21,NA,10,11,NA,45,16,NA,61,0,NA,9,12,NA,15,36,-1,29,61,-3,"accumulation","accumulation","depletion","accumulation","accumulation","depletion"
