"site_id","name","fine_storm_phase","max_total_abundance","min_total_abundance","mean_total_abundance","se_total","max_newstrand_abundance","min_newstrand_abundance","mean_newstrand_abundance","se_newstrand","max_oldstrand_abundance","min_oldstrand_abundance","mean_oldstrand_abundance","se_oldstrand","n_surveys","cluster_lon","cluster_lat"
"109_cluster","GRACE","during",24,24,24,NA,0,0,0,NA,24,24,24,NA,1,-96.0986502173913,19.1046781304348
"109_cluster","GRACE","post",8,8,8,NA,0,0,0,NA,8,8,8,NA,1,-96.0986502173913,19.1046781304348
"109_cluster","GRACE","pre",2,2,2,NA,0,0,0,NA,2,2,2,NA,1,-96.0986502173913,19.1046781304348
"111_cluster","BETA","post",29,29,29,NA,0,0,0,NA,NA,NA,NA,NA,1,-96.8717524766355,28.044564317757
"111_cluster","BETA","pre",17,2,10,8,17,2,10,8,NA,NA,NA,NA,2,-96.8717524766355,28.044564317757
"111_cluster","HANNA","post",11,11,11,NA,11,11,11,NA,NA,NA,NA,NA,1,-96.8717524766355,28.044564317757
"111_cluster","HANNA","pre",12,8,9,1,12,8,9,1,NA,NA,NA,NA,3,-96.8717524766355,28.044564317757
"111_cluster","NICHOLAS","post",114,73,93,12,114,73,93,12,NA,NA,NA,NA,3,-96.8717524766355,28.044564317757
"111_cluster","NICHOLAS","pre",34,1,12,11,34,1,12,11,NA,NA,NA,NA,3,-96.8717524766355,28.044564317757
"116_cluster","GRACE","post",11,11,11,NA,11,11,11,NA,NA,NA,NA,NA,1,-95.9051875555556,18.8645838888889
"116_cluster","GRACE","pre",13,13,13,NA,0,0,0,NA,13,13,13,NA,1,-95.9051875555556,18.8645838888889
"125_cluster","BETA","post",14,14,14,NA,0,0,0,NA,NA,NA,NA,NA,1,-96.9396677142857,27.9797837142857
"125_cluster","BETA","pre",13,4,8,4,13,4,8,4,NA,NA,NA,NA,2,-96.9396677142857,27.9797837142857
"125_cluster","NICHOLAS","post",48,48,48,NA,48,48,48,NA,NA,NA,NA,NA,1,-96.9396677142857,27.9797837142857
"125_cluster","NICHOLAS","pre",22,1,12,10,22,1,12,10,NA,NA,NA,NA,2,-96.9396677142857,27.9797837142857
"12_cluster","FRANCINE","post",20,20,20,NA,0,0,0,NA,20,20,20,NA,1,-91.1851219662921,30.4586581235955
"12_cluster","FRANCINE","pre",29,3,16,13,0,0,0,0,29,3,16,13,2,-91.1851219662921,30.4586581235955
"13_cluster","BARRY","post",32,8,20,12,0,0,0,0,32,8,20,12,2,-89.327391636076,30.3068862373418
"13_cluster","BARRY","pre",4,2,3,1,0,0,0,0,4,2,3,1,3,-89.327391636076,30.3068862373418
"13_cluster","FRANCINE","post",5,2,4,1,4,0,2,2,2,2,2,NA,2,-89.327391636076,30.3068862373418
"13_cluster","FRANCINE","pre",9,7,8,1,0,0,0,0,9,7,8,1,2,-89.327391636076,30.3068862373418
"13_cluster","IDA","post",12,1,6,2,12,1,6,2,NA,NA,NA,NA,6,-89.327391636076,30.3068862373418
"13_cluster","IDA","pre",4,3,4,0,4,3,4,0,NA,NA,NA,NA,2,-89.327391636076,30.3068862373418
"13_cluster","MARCO","post",23,1,4,3,23,0,4,3,NA,NA,NA,NA,8,-89.327391636076,30.3068862373418
"13_cluster","MARCO","pre",1,1,1,NA,0,0,0,NA,1,1,1,NA,1,-89.327391636076,30.3068862373418
"13_cluster","NESTOR","during",46,46,46,NA,46,46,46,NA,NA,NA,NA,NA,1,-89.327391636076,30.3068862373418
"13_cluster","NESTOR","post",12,12,12,NA,0,0,0,NA,12,12,12,NA,1,-89.327391636076,30.3068862373418
"13_cluster","NESTOR","pre",74,3,22,11,35,0,6,6,74,3,20,14,6,-89.327391636076,30.3068862373418
