"year","fine_storm_phase","max_total_abundance","min_total_abundance","mean_total_abundance","se_total","max_newstrand_abundance","min_newstrand_abundance","mean_newstrand_abundance","se_newstrand","max_oldstrand_abundance","min_oldstrand_abundance","mean_oldstrand_abundance","se_oldstrand","n_surveys"
2019,"during",67,46,56,10,46,0,23,23,67,67,67,NA,2
2019,"post",30846,0,801,597,155,0,31,6,30846,0,1503,1167,53
2019,"pre",9628,0,414,224,162,0,17,4,9628,0,685,383,57
2020,"during",119,70,94,24,119,114,116,2,NA,NA,NA,NA,2
2020,"post",1675,0,118,33,1687,0,48,26,1675,1,178,64,68
2020,"pre",6945,0,196,99,6945,0,140,97,1667,0,182,76,73
2021,"during",24,24,24,NA,0,0,0,NA,24,24,24,NA,1
2021,"post",193,0,37,7,193,0,32,8,64,1,16,6,38
2021,"pre",253,0,35,13,253,0,18,10,160,0,58,26,24
2022,"post",50,50,50,NA,0,0,0,NA,50,50,50,NA,1
2022,"pre",16,3,10,6,0,0,0,0,16,3,10,6,2
2024,"post",42,0,14,6,42,0,8,7,20,0,9,5,6
2024,"pre",97,0,15,9,97,0,11,9,29,1,10,5,11
