"year","fine_storm_phase","fine_response","max_total_abundance","min_total_abundance","mean_total_abundance","se_total","max_newstrand_abundance","min_newstrand_abundance","mean_newstrand_abundance","se_newstrand","max_oldstrand_abundance","min_oldstrand_abundance","mean_oldstrand_abundance","se_oldstrand","n_surveys"
2019,"during","acute",67,46,56,10,46,0,23,23,67,67,67,NA,2
2019,"post","acute",30846,18,5175,5134,83,0,26,14,30846,18,10301,10272,6
2019,"post","extended",8068,0,339,259,155,0,26,8,8068,0,558,471,31
2019,"post","subacute",141,2,52,11,141,0,40,12,78,2,26,10,17
2019,"pre","acute",162,8,56,20,162,0,50,21,8,8,8,NA,8
2019,"pre","extended",9628,0,557,310,66,0,8,3,9628,0,776,434,41
2019,"pre","subacute",79,0,33,8,114,0,29,11,79,0,26,19,10
2020,"during","acute",119,70,94,24,119,114,116,2,NA,NA,NA,NA,2
2020,"post","acute",1675,1,230,92,1687,0,119,83,1675,15,367,194,21
2020,"post","extended",1675,0,117,48,575,0,29,14,1675,1,176,90,41
2020,"post","subacute",244,0,53,19,188,0,19,13,244,69,117,43,15
2020,"pre","acute",659,0,98,38,295,0,42,18,659,28,203,119,18
2020,"pre","extended",6945,0,237,142,6945,0,197,142,1667,1,165,104,50
2020,"pre","subacute",6945,0,684,576,6945,0,596,577,1050,0,215,209,12
2021,"during","acute",24,24,24,NA,0,0,0,NA,24,24,24,NA,1
2021,"post","acute",63,11,32,16,63,0,28,18,NA,NA,NA,NA,3
2021,"post","extended",193,0,47,13,193,0,45,13,25,1,8,4,20
2021,"post","subacute",73,1,23,6,73,0,16,6,64,6,23,11,15
2021,"pre","extended",253,0,39,14,253,0,20,12,160,0,58,26,21
2021,"pre","subacute",22,0,8,7,22,0,8,7,NA,NA,NA,NA,3
2022,"post","extended",50,50,50,NA,0,0,0,NA,50,50,50,NA,1
2022,"pre","extended",16,3,10,6,0,0,0,0,16,3,10,6,2
2024,"post","acute",20,20,20,NA,0,0,0,NA,20,20,20,NA,1
2024,"post","extended",15,2,7,4,4,0,1,1,15,2,8,6,3
2024,"post","subacute",42,0,21,21,42,0,21,21,0,0,0,NA,2
2024,"pre","acute",97,3,50,47,97,0,48,48,3,3,3,NA,2
2024,"pre","extended",29,0,7,4,5,0,1,1,29,7,15,7,7
2024,"pre","subacute",14,1,8,6,14,0,7,7,1,1,1,NA,2
