"site_id","sum_abundance_total","max_abundance_total","min_abundance_total","mean_abundance_total","se_total","median_abundance_total","q1_abundance_total","q3_abundance_total","sum_abundance_new","max_abundance_new","min_abundance_new","mean_abundance_new","se_new","median_abundance_new","q1_abundance_new","q3_abundance_new","sum_abundance_old","max_abundance_old","min_abundance_old","mean_abundance_old","se_old","median_abundance_old","q1_abundance_old","q3_abundance_old","n_surveys"
1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,2
2,23,19,4,12,8,12,8,15,0,0,0,0,0,0,0,0,23,19,4,12,8,12,8,15,2
3,1758,88,1,12,1,8,3,14,1253,115,0,9,1,3,0,10,666,74,0,5,1,0,0,5,147
4,2665,1675,5,333,196,187,36,264,950,295,0,119,44,102,4,208,1715,1675,0,214,209,0,0,10,8
5,1658,659,126,276,79,227,178,250,503,210,0,84,39,63,0,157,1155,659,0,192,106,122,0,250,6
6,13005,6945,40,813,425,242,70,694,9435,6945,0,590,437,0,0,77,4635,1667,0,290,114,77,36,310,16
7,1392,238,3,56,11,43,20,62,278,113,0,11,6,0,0,0,1237,238,0,49,11,38,18,58,25
8,69,69,0,10,10,0,0,0,69,69,0,10,10,0,0,0,0,0,0,0,0,0,0,0,7
9,8155,7290,16,1165,1021,168,100,240,467,192,0,67,31,16,0,130,7841,7290,0,1120,1029,81,0,235,7
10,3092,529,1,97,19,79,37,117,1265,146,0,40,9,10,0,82,2374,529,0,74,22,20,0,92,32
11,6229,2946,8,222,102,130,94,150,5206,2946,0,186,104,102,0,149,1264,198,0,45,12,0,0,85,28
12,227,67,0,25,7,17,13,25,39,21,0,4,3,0,0,0,203,67,0,23,8,14,10,25,9
13,4974,4950,24,2487,2463,2487,1256,3718,0,0,0,0,0,0,0,0,4974,4950,24,2487,2463,2487,1256,3718,2
14,50515,30846,0,5052,3084,286,1,6400,0,0,0,0,0,0,0,0,50515,30846,0,5052,3084,286,1,6400,10
15,5043,157,0,20,2,13,3,26,3191,141,0,13,2,0,0,15,3038,157,0,12,1,6,0,18,246
16,1051,114,1,29,4,23,12,34,723,114,0,20,5,10,0,30,369,78,0,10,3,0,0,13,36
17,339,83,0,21,6,12,8,22,302,83,0,19,7,10,3,20,58,22,0,4,2,0,0,0,16
18,364,54,1,26,5,23,13,40,196,48,0,14,5,3,0,21,176,54,0,13,5,0,0,24,14
19,28,13,0,6,3,1,1,13,1,1,0,0,0,0,0,0,27,13,0,5,3,1,0,13,5
20,8755,199,0,48,3,32,14,76,6581,233,0,36,4,17,0,59,2627,199,0,14,2,0,0,16,183
21,10302,324,0,57,4,43,20,75,5146,253,0,28,3,1,0,41,6627,324,0,36,4,16,0,56,182
22,787,80,0,25,4,19,0,44,270,80,0,9,4,0,0,0,517,70,0,17,4,0,0,33,31
23,2053,159,0,31,4,23,10,40,489,114,0,7,2,0,0,4,1764,159,0,26,4,16,0,36,67
24,818,145,3,31,7,19,10,36,30,20,0,1,1,0,0,0,844,145,3,32,7,21,10,40,26
25,239,38,2,16,3,15,8,24,61,38,0,4,3,0,0,0,203,30,0,14,3,11,6,22,15
26,195,113,11,32,16,18,14,22,27,16,0,4,3,0,0,8,168,113,0,28,17,16,3,22,6
27,19,10,0,1,1,0,0,0,2,2,0,0,0,0,0,0,17,10,0,1,1,0,0,0,19
28,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
29,15,4,0,1,0,1,0,1,5,2,0,0,0,0,0,0,10,4,0,1,0,0,0,1,19
30,18,4,0,1,0,1,0,2,8,4,0,1,0,0,0,1,15,5,0,1,0,0,0,2,14
31,14,7,0,2,1,1,0,3,8,7,0,1,1,0,0,0,6,3,0,1,1,0,0,2,7
32,386,105,0,26,7,22,6,30,371,105,0,25,8,22,0,30,15,7,0,1,1,0,0,1,15
