"survey_type","year","sum_abundance_total","max_abundance_total","min_abundance_total","mean_abundance_total","se_total","median_abundance_total","q1_abundance_total","q3_abundance_total","sum_abundance_new","max_abundance_new","min_abundance_new","mean_abundance_new","se_new","median_abundance_new","q1_abundance_new","q3_abundance_new","sum_abundance_old","max_abundance_old","min_abundance_old","mean_abundance_old","se_old","median_abundance_old","q1_abundance_old","q3_abundance_old","n_surveys"
"control",2018,1533,190,0,48,8,36,16,67,123,123,0,4,4,0,0,0,1410,190,0,44,7,33,16,65,32
"control",2019,13178,253,0,46,3,34,16,64,6932,253,0,24,3,0,0,35,8151,276,0,29,2,14,0,41,285
"control",2020,7354,1398,0,55,11,28,7,74,4521,191,0,34,4,10,0,52,3098,1398,0,23,11,0,0,11,134
"control",2021,7873,2946,0,43,16,12,2,27,6218,2946,0,34,16,2,0,16,2521,252,0,14,3,0,0,14,183
"control",2022,2875,238,0,27,4,10,4,22,1723,210,0,16,4,0,0,16,1518,238,0,14,3,3,0,12,107
"control",2023,2002,319,0,24,5,8,3,26,648,114,0,8,2,0,0,2,1532,319,0,18,5,4,0,19,83
"control",2024,1723,144,0,31,5,15,4,40,941,144,0,17,5,0,0,10,844,129,0,15,3,4,0,21,56
"control",2025,410,60,0,22,5,21,2,39,6,3,0,0,0,0,0,0,431,60,0,23,5,21,2,41,19
"storm_influenced",2019,66092,30846,0,595,307,32,8,74,2632,162,0,24,4,0,0,34,63901,30846,0,576,307,2,0,34,111
"storm_influenced",2020,18569,6945,0,164,66,16,4,61,11304,6945,0,100,63,1,0,15,8776,1675,0,78,24,2,0,29,113
"storm_influenced",2021,2261,253,0,36,7,11,4,46,1665,253,0,26,6,5,0,27,739,160,0,12,4,0,0,5,63
"storm_influenced",2022,69,50,3,23,14,16,10,33,0,0,0,0,0,0,0,0,69,50,3,23,14,16,10,33,3
"storm_influenced",2024,251,97,0,15,6,5,1,15,164,97,0,10,6,0,0,4,94,29,0,6,2,1,0,7,17
