"name","fine_storm_phase","sum_abundance_total","max_abundance_total","min_abundance_total","mean_abundance_total","se_total","median_abundance_total","q1_abundance_total","q3_abundance_total","sum_abundance_new","max_abundance_new","min_abundance_new","mean_abundance_new","se_new","median_abundance_new","q1_abundance_new","q3_abundance_new","sum_abundance_old","max_abundance_old","min_abundance_old","mean_abundance_old","se_old","median_abundance_old","q1_abundance_old","q3_abundance_old","n_surveys"
"BARRY","post",39848,30846,0,3065,2395,14,8,288,33,33,0,3,3,0,0,0,39815,30846,0,3063,2395,12,7,288,13
"BARRY","pre",17212,9628,2,1012,687,11,4,42,148,42,0,9,3,0,0,11,17090,9628,0,1005,688,2,0,16,17
"BERYL","post",57,42,15,28,14,28,22,35,42,42,0,21,21,21,10,32,15,15,0,8,8,8,4,11,2
"BERYL","pre",119,97,1,20,16,3,1,12,118,97,0,20,16,3,1,12,2,1,0,0,0,0,0,1,6
"BETA","during",70,70,70,70,NA,70,70,70,114,114,114,114,NA,114,114,114,27,27,27,27,NA,27,27,27,1
"BETA","post",1063,324,3,59,20,24,12,56,276,119,0,15,7,0,0,14,874,324,0,49,20,16,2,40,18
"BETA","pre",783,153,2,46,11,28,13,70,773,153,0,45,12,17,4,65,219,120,0,13,7,0,0,9,17
"CLAUDETTE","post",120,63,4,30,15,26,6,50,116,63,0,29,15,26,5,50,4,4,0,1,1,0,0,1,4
"CLAUDETTE","pre",54,32,22,27,5,27,24,30,54,32,22,27,5,27,24,30,0,0,0,0,0,0,0,0,2
"CRISTOBAL","post",6,4,1,2,1,1,1,2,0,0,0,0,0,0,0,0,6,4,1,2,1,1,1,2,3
"CRISTOBAL","pre",6,4,0,2,1,1,0,2,6,4,0,2,1,1,0,2,5,5,0,1,1,0,0,1,4
"DELTA","during",119,119,119,119,NA,119,119,119,119,119,119,119,NA,119,119,119,0,0,0,0,NA,0,0,0,1
"DELTA","post",2136,1675,30,305,230,45,42,152,59,59,0,8,8,0,0,0,2077,1675,0,297,232,43,35,144,7
"DELTA","pre",1247,659,4,125,65,49,22,68,655,295,0,66,28,49,7,64,726,659,0,73,65,4,0,17,10
"FAY","post",0,0,0,0,NA,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,NA,0,0,0,1
"FAY","pre",0,0,0,0,NA,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,NA,0,0,0,1
"FRANCINE","post",27,20,0,7,5,4,2,9,4,4,0,1,1,0,0,1,29,20,0,7,4,4,2,10,4
"FRANCINE","pre",48,29,0,10,5,7,3,9,0,0,0,0,0,0,0,0,48,29,0,10,5,7,3,9,5
"GRACE","during",24,24,24,24,NA,24,24,24,0,0,0,0,NA,0,0,0,24,24,24,24,NA,24,24,24,1
"GRACE","post",25,11,6,8,1,8,7,10,11,11,0,4,4,0,0,6,14,8,0,5,2,6,3,7,3
"GRACE","pre",24,13,2,8,3,9,6,11,0,0,0,0,0,0,0,0,24,13,2,8,3,9,6,11,3
"HANNA","post",375,153,0,25,10,16,10,26,285,153,0,19,10,1,0,22,109,29,0,7,3,0,0,16,15
"HANNA","pre",286,56,0,14,3,8,4,12,126,39,0,6,2,2,0,8,204,73,0,10,4,1,0,4,21
"IDA","post",229,193,1,33,27,7,4,10,229,193,1,33,27,7,4,10,0,0,0,0,0,0,0,0,7
"IDA","pre",260,253,3,87,83,4,4,128,260,253,3,87,83,4,4,128,0,0,0,0,0,0,0,0,3
"IMELDA","during",67,67,67,67,NA,67,67,67,0,0,0,0,NA,0,0,0,67,67,67,67,NA,67,67,67,1
"IMELDA","post",2428,351,0,71,12,53,24,89,1602,155,0,47,8,31,0,81,1058,396,0,31,14,0,0,19,34
"IMELDA","pre",5970,4950,0,230,189,32,6,60,481,162,0,18,8,0,0,12,5613,4950,0,216,190,3,0,48,26
"KARL","post",50,50,50,50,NA,50,50,50,0,0,0,0,NA,0,0,0,50,50,50,50,NA,50,50,50,1
"KARL","pre",19,16,3,10,6,10,6,13,0,0,0,0,0,0,0,0,19,16,3,10,6,10,6,13,2
"LAURA","post",219,70,5,44,11,45,38,61,287,114,2,57,18,61,45,65,48,27,0,10,5,9,0,12,5
"LAURA","pre",175,115,1,29,17,16,10,19,126,115,0,21,19,0,0,8,68,29,0,11,5,12,2,16,6
"MARCO","post",4057,1064,1,214,77,56,2,258,2484,1687,0,131,92,1,0,3,2649,1050,0,139,60,3,0,155,19
"MARCO","pre",8613,6945,1,2871,2093,1667,834,4306,6945,6945,0,2315,2315,0,0,3472,1668,1667,0,556,556,1,0,834,3
"MINDY","post",0,0,0,0,NA,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,NA,0,0,0,1
"MINDY","pre",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"NESTOR","during",46,46,46,46,NA,46,46,46,46,46,46,46,NA,46,46,46,0,0,0,0,NA,0,0,0,1
"NESTOR","post",21,12,2,7,3,7,4,10,7,7,0,2,2,0,0,4,14,12,0,5,4,2,1,7,3
"NESTOR","pre",139,74,2,17,9,4,3,20,35,35,0,4,4,0,0,0,104,74,0,13,9,3,3,7,8
"NICHOLAS","post",1018,147,1,44,9,29,8,74,871,147,0,38,9,18,0,74,290,118,0,13,6,1,0,9,23
"NICHOLAS","pre",507,160,0,36,14,16,1,31,124,34,0,9,3,2,0,18,383,160,0,27,15,0,0,0,14
"OLGA","post",149,89,12,37,18,24,16,45,0,0,0,0,0,0,0,0,149,89,12,37,18,24,16,45,4
"OLGA","pre",308,66,0,38,9,47,27,54,361,114,0,45,13,47,26,56,6,3,0,1,0,0,0,1,8
"SALLY","post",909,575,1,152,94,36,2,212,582,575,0,97,96,2,0,3,334,259,0,56,42,2,1,53,6
"SALLY","pre",10422,6945,1,651,428,76,18,310,8847,6945,0,553,439,0,0,7,2644,1050,0,165,69,52,0,242,16
"ZETA","post",1679,1675,4,840,836,840,422,1257,0,0,0,0,0,0,0,0,1679,1675,4,840,836,840,422,1257,2
"ZETA","pre",314,295,19,157,138,157,88,226,295,295,0,148,148,148,74,221,19,19,0,10,10,10,5,14,2
