"site_id","name","usa_wind","rmw_m","roci_m","max_r_nw_m","max_r_ne_m","max_r_sw_m","max_r_se_m","storm_speed","usa_pres","usa_status","usa_sshs","min_dist_to_track_m","storm_dir","dist2land"
"109_cluster","GRACE",95,37040,333360,203720,277800,148160,175940,15,994,"TS",2,182534.569726939,275,251
"111_cluster","BETA",30,70376,259280,NA,NA,NA,NA,4,1007,"LO",-1,69096.6351727806,50,311
"111_cluster","HANNA",33,129640,259280,NA,NA,NA,NA,7,1009,"TD",-1,141247.169148316,290,376
"111_cluster","NICHOLAS",38,148160,222240,0,175940,0,0,15,1008,"TS",0,74990.0086122694,345,204
"116_cluster","GRACE",95,37040,333360,203720,277800,148160,175940,15,994,"TS",2,215663.230599189,275,251
"125_cluster","BETA",30,70376,259280,NA,NA,NA,NA,4,1007,"LO",-1,80161.6107280236,50,311
"125_cluster","NICHOLAS",38,148160,222240,0,175940,0,0,15,1008,"TS",0,82378.8656006172,345,204
"12_cluster","FRANCINE",20,74080,240760,NA,NA,NA,NA,11,1006,"DB",-3,104025.340102123,325,44
"13_cluster","BARRY",30,148160,333360,NA,NA,NA,NA,7,1009,"DB",-3,287521.379650885,235,216
"13_cluster","FRANCINE",20,74080,240760,NA,NA,NA,NA,11,1006,"DB",-3,109142.975014997,325,44
"13_cluster","IDA",85,37040,277800,194460,212980,138900,185200,15,988,"HU",2,182650.782661938,325,417
"13_cluster","MARCO",65,33336,277800,111120,166680,55560,129640,12,995,"TS",1,180159.900636412,350,425
"13_cluster","NESTOR",38,185200,277800,111120,0,185200,0,9,1007,"DB",-3,330306.964498405,50,286
"13_cluster","OLGA",43,101860,370400,111120,148160,111120,18520,17,1004,"TS",0,283977.564366926,45,354
"13_cluster","SALLY",35,111120,277800,0,55560,0,138900,9,1003,"TS",0,167093.911395484,295,32
"142_cluster","DELTA",78,55560,398180,185200,212980,129640,166680,14,978,"HU",1,343609.016415581,295,80
"14_cluster","NICHOLAS",38,148160,222240,0,175940,0,0,15,1008,"TS",0,9823.37083645278,345,204
"158_cluster","NICHOLAS",38,148160,222240,0,175940,0,0,15,1008,"TS",0,14498.3106603778,345,204
"159_cluster","MINDY",40,55560,166680,0,0,0,64820,17,1006,"TS",0,23502.8769621436,50,198
"17_cluster","BERYL",50,74080,333360,129640,203720,74080,74080,13,1001,"TS",0,157434.544438166,325,433
"17_cluster","BETA",30,70376,259280,NA,NA,NA,NA,4,1007,"LO",-1,135259.12090319,50,311
"17_cluster","HANNA",33,129640,259280,NA,NA,NA,NA,7,1009,"TD",-1,98265.488124017,290,376
"17_cluster","IMELDA",40,55560,277800,NA,NA,NA,NA,8,1008,"TD",0,190660.052369669,30,44
"17_cluster","NICHOLAS",38,148160,222240,0,175940,0,0,15,1008,"TS",0,91389.5199428687,345,204
"180_cluster","BETA",30,70376,259280,NA,NA,NA,NA,4,1007,"LO",-1,77878.5908410262,50,311
"180_cluster","HANNA",33,129640,259280,NA,NA,NA,NA,7,1009,"TD",-1,137741.2688812,290,376
"180_cluster","NICHOLAS",38,148160,222240,0,175940,0,0,15,1008,"TS",0,80819.4305095542,345,204
"186_cluster","HANNA",33,129640,259280,NA,NA,NA,NA,7,1009,"TD",-1,134155.995839792,290,376
"187_cluster","BARRY",30,148160,333360,NA,NA,NA,NA,7,1009,"DB",-3,203812.098025547,235,216
"187_cluster","FAY",28,74080,166680,NA,NA,NA,NA,15,1010,"LO",-3,31556.9426699923,65,197
"244_cluster","ZETA",58,46300,287060,129640,222240,111120,222240,13,989,"TS",0,81410.9972469528,325,175
"256_cluster","CRISTOBAL",25,148160,333360,NA,NA,NA,NA,7,1006,"TD",-1,148504.887441036,290,46
"25_cluster","BARRY",30,148160,333360,NA,NA,NA,NA,7,1009,"DB",-3,309947.914839122,235,216
"263_cluster","NESTOR",38,185200,277800,111120,0,185200,0,9,1007,"DB",-3,226182.109578968,50,286
"26_cluster","BARRY",30,148160,333360,NA,NA,NA,NA,7,1009,"DB",-3,300043.610944075,235,216
"284_cluster","IMELDA",40,55560,277800,NA,NA,NA,NA,8,1008,"TD",0,108736.133320967,30,44
"2_cluster","GRACE",95,37040,333360,203720,277800,148160,175940,15,994,"TS",2,171588.948073147,275,251
"2_cluster","KARL",35,185200,222240,NA,NA,NA,NA,7,1007,"TD",0,179142.319368605,335,144
"32_cluster","BARRY",30,148160,333360,NA,NA,NA,NA,7,1009,"DB",-3,312751.791766076,235,216
"32_cluster","IMELDA",40,55560,277800,NA,NA,NA,NA,8,1008,"TD",0,105576.95296045,30,44
"32_cluster","NICHOLAS",38,148160,222240,0,175940,0,0,15,1008,"TS",0,13924.3402511435,345,204
"34_cluster","CLAUDETTE",28,277800,333360,NA,NA,NA,NA,11,1008,"DB",-3,103356.264122986,20,275
"3_cluster","BETA",30,70376,259280,NA,NA,NA,NA,4,1007,"LO",-1,111386.918218749,50,311
"3_cluster","DELTA",78,55560,398180,185200,212980,129640,166680,14,978,"HU",1,368909.529509789,295,80
"3_cluster","HANNA",33,129640,259280,NA,NA,NA,NA,7,1009,"TD",-1,113928.758848994,290,376
"3_cluster","IMELDA",40,55560,277800,NA,NA,NA,NA,8,1008,"TD",0,169617.154939468,30,44
"42_cluster","IMELDA",40,55560,277800,NA,NA,NA,NA,8,1008,"TD",0,202984.072742169,30,44
"46_cluster","DELTA",78,55560,398180,185200,212980,129640,166680,14,978,"HU",1,346163.746379274,295,80
"46_cluster","IDA",85,37040,277800,194460,212980,138900,185200,15,988,"HU",2,104907.185874859,325,417
"46_cluster","ZETA",58,46300,287060,129640,222240,111120,222240,13,989,"TS",0,35072.7184838162,325,175
"58_cluster","MARCO",65,33336,277800,111120,166680,55560,129640,12,995,"TS",1,148792.428267382,350,425
"58_cluster","SALLY",35,111120,277800,0,55560,0,138900,9,1003,"TS",0,224822.526532489,295,32
"65_cluster","BETA",30,70376,259280,NA,NA,NA,NA,4,1007,"LO",-1,270328.54233894,50,311
"65_cluster","OLGA",43,101860,370400,111120,148160,111120,18520,17,1004,"TS",0,315310.66069735,45,354
"6_cluster","FRANCINE",20,74080,240760,NA,NA,NA,NA,11,1006,"DB",-3,256293.603866513,325,44
"73_cluster","BARRY",30,148160,333360,NA,NA,NA,NA,7,1009,"DB",-3,282365.920876495,235,216
"73_cluster","CRISTOBAL",25,148160,333360,NA,NA,NA,NA,7,1006,"TD",-1,258477.379983072,290,46
"74_cluster","CRISTOBAL",25,148160,333360,NA,NA,NA,NA,7,1006,"TD",-1,257224.173501699,290,46
"74_cluster","NESTOR",38,185200,277800,111120,0,185200,0,9,1007,"DB",-3,212872.885699666,50,286
"9_cluster","BARRY",30,148160,333360,NA,NA,NA,NA,7,1009,"DB",-3,295789.075286487,235,216
"9_cluster","BERYL",50,74080,333360,129640,203720,74080,74080,13,1001,"TS",0,148912.485377866,325,433
"9_cluster","BETA",30,70376,259280,NA,NA,NA,NA,4,1007,"LO",-1,58633.7733757953,50,311
"9_cluster","DELTA",78,55560,398180,185200,212980,129640,166680,14,978,"HU",1,154660.62177209,295,80
"9_cluster","HANNA",33,129640,259280,NA,NA,NA,NA,7,1009,"TD",-1,273425.659555154,290,376
"9_cluster","IMELDA",40,55560,277800,NA,NA,NA,NA,8,1008,"TD",0,78815.1595708131,30,44
"9_cluster","LAURA",73,92600,296320,166680,277800,111120,259280,15,995,"TS",1,182611.088807717,300,335
"9_cluster","NICHOLAS",38,148160,222240,0,175940,0,0,15,1008,"TS",0,43380.6295993157,345,204
