"name","fine_storm_phase","fine_response","sum_abundance_total","max_abundance_total","min_abundance_total","mean_abundance_total","se_total","median_abundance_total","q1_abundance_total","q3_abundance_total","sum_abundance_new","max_abundance_new","min_abundance_new","mean_abundance_new","se_new","median_abundance_new","q1_abundance_new","q3_abundance_new","sum_abundance_old","max_abundance_old","min_abundance_old","mean_abundance_old","se_old","median_abundance_old","q1_abundance_old","q3_abundance_old","n_surveys"
"BARRY","post","acute",30846,30846,30846,30846,NA,30846,30846,30846,0,0,0,0,NA,0,0,0,30846,30846,30846,30846,NA,30846,30846,30846,1
"BARRY","post","extended",288,288,288,288,NA,288,288,288,0,0,0,0,NA,0,0,0,288,288,288,288,NA,288,288,288,1
"BARRY","post","subacute",32,32,32,32,NA,32,32,32,0,0,0,0,NA,0,0,0,32,32,32,32,NA,32,32,32,1
"BARRY","pre","acute",11,11,11,11,NA,11,11,11,11,11,11,11,NA,11,11,11,0,0,0,0,NA,0,0,0,1
"BARRY","pre","extended",4,4,4,4,NA,4,4,4,0,0,0,0,NA,0,0,0,4,4,4,4,NA,4,4,4,1
"BARRY","pre","subacute",9,9,9,9,NA,9,9,9,9,9,9,9,NA,9,9,9,0,0,0,0,NA,0,0,0,1
"BERYL","post","extended",15,15,15,15,NA,15,15,15,0,0,0,0,NA,0,0,0,15,15,15,15,NA,15,15,15,1
"BERYL","post","subacute",42,42,42,42,NA,42,42,42,42,42,42,42,NA,42,42,42,0,0,0,0,NA,0,0,0,1
"BERYL","pre","acute",97,97,97,97,NA,97,97,97,97,97,97,97,NA,97,97,97,0,0,0,0,NA,0,0,0,1
"BERYL","pre","extended",1,1,1,1,NA,1,1,1,1,1,1,1,NA,1,1,1,0,0,0,0,NA,0,0,0,1
"BERYL","pre","subacute",1,1,1,1,NA,1,1,1,0,0,0,0,NA,0,0,0,1,1,1,1,NA,1,1,1,1
"BETA","during","acute",70,70,70,70,NA,70,70,70,114,114,114,114,NA,114,114,114,27,27,27,27,NA,27,27,27,1
"BETA","post","acute",45,45,45,45,NA,45,45,45,45,45,45,45,NA,45,45,45,0,0,0,0,NA,0,0,0,1
"BETA","post","extended",4,4,4,4,NA,4,4,4,4,4,4,4,NA,4,4,4,0,0,0,0,NA,0,0,0,1
"BETA","post","subacute",29,29,29,29,NA,29,29,29,0,0,0,0,NA,0,0,0,58,58,58,58,NA,58,58,58,1
"BETA","pre","acute",61,61,61,61,NA,61,61,61,61,61,61,61,NA,61,61,61,0,0,0,0,NA,0,0,0,1
"BETA","pre","extended",115,115,115,115,NA,115,115,115,115,115,115,115,NA,115,115,115,0,0,0,0,NA,0,0,0,1
"BETA","pre","subacute",5,5,5,5,NA,5,5,5,2,2,2,2,NA,2,2,2,9,9,9,9,NA,9,9,9,1
"CLAUDETTE","post","acute",63,63,63,63,NA,63,63,63,63,63,63,63,NA,63,63,63,0,0,0,0,NA,0,0,0,1
"CLAUDETTE","post","extended",46,46,46,46,NA,46,46,46,46,46,46,46,NA,46,46,46,0,0,0,0,NA,0,0,0,1
"CLAUDETTE","post","subacute",7,7,7,7,NA,7,7,7,7,7,7,7,NA,7,7,7,0,0,0,0,NA,0,0,0,1
"CLAUDETTE","pre","extended",32,32,32,32,NA,32,32,32,32,32,32,32,NA,32,32,32,0,0,0,0,NA,0,0,0,1
"CRISTOBAL","post","extended",1,1,1,1,NA,1,1,1,0,0,0,0,NA,0,0,0,1,1,1,1,NA,1,1,1,1
"CRISTOBAL","pre","acute",0,0,0,0,NA,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,NA,0,0,0,1
"CRISTOBAL","pre","subacute",0,0,0,0,NA,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,NA,0,0,0,1
"DELTA","during","acute",119,119,119,119,NA,119,119,119,119,119,119,119,NA,119,119,119,0,0,0,0,NA,0,0,0,1
"DELTA","post","acute",30,30,30,30,NA,30,30,30,0,0,0,0,NA,0,0,0,30,30,30,30,NA,30,30,30,1
"DELTA","post","extended",1675,1675,1675,1675,NA,1675,1675,1675,0,0,0,0,NA,0,0,0,1675,1675,1675,1675,NA,1675,1675,1675,1
"DELTA","post","subacute",244,244,244,244,NA,244,244,244,0,0,0,0,NA,0,0,0,244,244,244,244,NA,244,244,244,1
"DELTA","pre","acute",295,295,295,295,NA,295,295,295,295,295,295,295,NA,295,295,295,0,0,0,0,NA,0,0,0,1
"DELTA","pre","extended",5,5,5,5,NA,5,5,5,2,2,2,2,NA,2,2,2,9,9,9,9,NA,9,9,9,1
"FAY","post","subacute",0,0,0,0,NA,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,NA,0,0,0,1
"FAY","pre","extended",0,0,0,0,NA,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,NA,0,0,0,1
"FRANCINE","post","acute",20,20,20,20,NA,20,20,20,0,0,0,0,NA,0,0,0,20,20,20,20,NA,20,20,20,1
"FRANCINE","post","extended",5,5,5,5,NA,5,5,5,4,4,4,4,NA,4,4,4,7,7,7,7,NA,7,7,7,1
"FRANCINE","post","subacute",0,0,0,0,NA,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,NA,0,0,0,1
"FRANCINE","pre","acute",3,3,3,3,NA,3,3,3,0,0,0,0,NA,0,0,0,3,3,3,3,NA,3,3,3,1
"FRANCINE","pre","extended",7,7,7,7,NA,7,7,7,0,0,0,0,NA,0,0,0,7,7,7,7,NA,7,7,7,1
"GRACE","during","acute",24,24,24,24,NA,24,24,24,0,0,0,0,NA,0,0,0,24,24,24,24,NA,24,24,24,1
"GRACE","post","subacute",6,6,6,6,NA,6,6,6,0,0,0,0,NA,0,0,0,6,6,6,6,NA,6,6,6,1
"GRACE","pre","extended",9,9,9,9,NA,9,9,9,0,0,0,0,NA,0,0,0,9,9,9,9,NA,9,9,9,1
"HANNA","post","acute",20,20,20,20,NA,20,20,20,10,10,10,10,NA,10,10,10,29,29,29,29,NA,29,29,29,1
"HANNA","post","extended",16,16,16,16,NA,16,16,16,0,0,0,0,NA,0,0,0,16,16,16,16,NA,16,16,16,1
"HANNA","post","subacute",1,1,1,1,NA,1,1,1,1,1,1,1,NA,1,1,1,0,0,0,0,NA,0,0,0,1
"HANNA","pre","acute",8,8,8,8,NA,8,8,8,8,8,8,8,NA,8,8,8,0,0,0,0,NA,0,0,0,1
