"name","n_survey_sites","max_wind_kts","mean_wind_kts","min_usa_pres","mean_usa_pres","max_sshs","max_speed_kts","mean_speed_kts","primary_usa_sshs","primary_usa_status","duration_days","full_storm_start","full_storm_end"
"NICHOLAS",8,65,46.5,1008,1006.5,1,15,11,"0","TS",4,2021-09-12,2021-09-16
"BARRY",7,65,49,1009,1002.75,1,7,5.75,"0","TS",3,2019-07-10,2019-07-13
"BETA",7,55,42.8571428571429,1007,1002.14285714286,0,13,7.85714285714286,"0","TS",6,2020-09-17,2020-09-23
"HANNA",6,80,55.3333333333333,1009,1001.33333333333,1,9,8.33333333333333,"-1","TS",2,2020-07-23,2020-07-25
"IMELDA",6,40,40,1008,1008,0,8,8,"0","TD",1,2019-09-17,2019-09-17
"DELTA",4,105,95.3333333333333,978,973.666666666667,3,18,15.3333333333333,"3","HU",2,2020-10-07,2020-10-09
"CRISTOBAL",3,50,43,1006,997.571428571429,0,13,9,"0","TS",7,2020-06-01,2020-06-08
"FRANCINE",3,80,50.5,1006,995.666666666667,1,15,12.1666666666667,"0","LO",5,2024-09-07,2024-09-12
"GRACE",3,105,100,994,980.5,3,15,14,"2","HU",1,2021-08-20,2021-08-21
"NESTOR",3,50,46,1007,1002.66666666667,0,21,15,"0","DB",2,2019-10-17,2019-10-19
"BERYL",2,70,59.3333333333333,1001,994,1,13,11.6666666666667,"0","TS",2,2024-07-06,2024-07-08
"IDA",2,130,107.5,988,977.5,4,15,14.5,"2","HU",1,2021-08-28,2021-08-29
"MARCO",2,65,51.6666666666667,1009,1003.66666666667,1,12,11,"0","TS",2,2020-08-23,2020-08-25
"OLGA",2,45,44,1004,1000,0,26,21.5,"-4","EX",1,2019-10-25,2019-10-26
"SALLY",2,95,66,1003,992.6,2,11,7.2,"0","TS",4,2020-09-12,2020-09-16
"ZETA",2,100,81,990,984,3,27,21.3333333333333,"0","TS",2,2020-10-27,2020-10-29
"CLAUDETTE",1,40,36,1008,1006.66666666667,0,14,12.6666666666667,"-3","DB",2,2021-06-17,2021-06-19
"FAY",1,30,29,1010,1009,-3,15,14.5,"-3","LO",1,2020-07-05,2020-07-06
"KARL",1,50,41,1010,1004.8,0,7,7,"0","TS",4,2022-10-11,2022-10-15
"LAURA",1,130,109.333333333333,995,972.333333333333,4,15,14.6666666666667,"4","HU",2,2020-08-25,2020-08-27
"MINDY",1,50,45,1006,1003.5,0,17,16.5,"0","TS",1,2021-09-08,2021-09-09
