"site_id","name","cluster_lon","cluster_lat","mean_total_abundance_during","mean_total_abundance_post","mean_total_abundance_pre","mean_newstrand_abundance_during","mean_newstrand_abundance_post","mean_newstrand_abundance_pre","mean_oldstrand_abundance_during","mean_oldstrand_abundance_post","mean_oldstrand_abundance_pre","total_pcs_change","newstrand_pcs_change","oldstrand_pcs_change","total_prct_change","newstrand_prct_change","oldstrand_prct_change","total_change_type","new_change_type","old_change_type"
"109_cluster","GRACE",-96.0986502173913,19.1046781304348,24,8,2,0,0,0,24,8,2,6,0,6,300,0,300,"accumulation","no_change","accumulation"
"111_cluster","BETA",-96.8717524766355,28.044564317757,NA,29,10,NA,0,10,NA,NA,NA,19,-10,NA,190,-100,NA,"accumulation","depletion",NA
"111_cluster","HANNA",-96.8717524766355,28.044564317757,NA,11,9,NA,11,9,NA,NA,NA,2,2,NA,22.2222222222222,22.2222222222222,NA,"accumulation","accumulation",NA
"111_cluster","NICHOLAS",-96.8717524766355,28.044564317757,NA,93,12,NA,93,12,NA,NA,NA,81,81,NA,675,675,NA,"accumulation","accumulation",NA
"116_cluster","GRACE",-95.9051875555556,18.8645838888889,NA,11,13,NA,11,0,NA,NA,13,-2,11,NA,-15.3846153846154,NA,NA,"depletion","accumulation",NA
"125_cluster","BETA",-96.9396677142857,27.9797837142857,NA,14,8,NA,0,8,NA,NA,NA,6,-8,NA,75,-100,NA,"accumulation","depletion",NA
"125_cluster","NICHOLAS",-96.9396677142857,27.9797837142857,NA,48,12,NA,48,12,NA,NA,NA,36,36,NA,300,300,NA,"accumulation","accumulation",NA
"12_cluster","FRANCINE",-91.1851219662921,30.4586581235955,NA,20,16,NA,0,0,NA,20,16,4,0,4,25,0,25,"accumulation","no_change","accumulation"
"13_cluster","BARRY",-89.327391636076,30.3068862373418,NA,20,3,NA,0,0,NA,20,3,17,0,17,566.666666666667,0,566.666666666667,"accumulation","no_change","accumulation"
"13_cluster","FRANCINE",-89.327391636076,30.3068862373418,NA,4,8,NA,2,0,NA,2,8,-4,2,-6,-50,NA,-75,"depletion","accumulation","depletion"
"13_cluster","IDA",-89.327391636076,30.3068862373418,NA,6,4,NA,6,4,NA,NA,NA,2,2,NA,50,50,NA,"accumulation","accumulation",NA
"13_cluster","MARCO",-89.327391636076,30.3068862373418,NA,4,1,NA,4,0,NA,NA,1,3,4,NA,300,NA,NA,"accumulation","accumulation",NA
