"site_id","name","fine_storm_phase","fine_response","max_total_abundance","min_total_abundance","mean_total_abundance","se_total","max_newstrand_abundance","min_newstrand_abundance","mean_newstrand_abundance","se_newstrand","max_oldstrand_abundance","min_oldstrand_abundance","mean_oldstrand_abundance","se_oldstrand","n_surveys","cluster_lon","cluster_lat"
"109_cluster","GRACE","during","acute",24,24,24,NA,0,0,0,NA,24,24,24,NA,1,-96.0986502173913,19.1046781304348
"109_cluster","GRACE","post","subacute",8,8,8,NA,0,0,0,NA,8,8,8,NA,1,-96.0986502173913,19.1046781304348
"109_cluster","GRACE","pre","extended",2,2,2,NA,0,0,0,NA,2,2,2,NA,1,-96.0986502173913,19.1046781304348
"111_cluster","BETA","post","subacute",29,29,29,NA,0,0,0,NA,NA,NA,NA,NA,1,-96.8717524766355,28.044564317757
"111_cluster","BETA","pre","extended",17,2,10,8,17,2,10,8,NA,NA,NA,NA,2,-96.8717524766355,28.044564317757
"111_cluster","HANNA","post","extended",11,11,11,NA,11,11,11,NA,NA,NA,NA,NA,1,-96.8717524766355,28.044564317757
"111_cluster","HANNA","pre","acute",8,8,8,NA,8,8,8,NA,NA,NA,NA,NA,1,-96.8717524766355,28.044564317757
"111_cluster","HANNA","pre","extended",12,8,10,2,12,8,10,2,NA,NA,NA,NA,2,-96.8717524766355,28.044564317757
"111_cluster","NICHOLAS","post","extended",114,92,103,11,114,92,103,11,NA,NA,NA,NA,2,-96.8717524766355,28.044564317757
"111_cluster","NICHOLAS","post","subacute",73,73,73,NA,73,73,73,NA,NA,NA,NA,NA,1,-96.8717524766355,28.044564317757
"111_cluster","NICHOLAS","pre","extended",34,1,12,11,34,1,12,11,NA,NA,NA,NA,3,-96.8717524766355,28.044564317757
"116_cluster","GRACE","post","subacute",11,11,11,NA,11,11,11,NA,NA,NA,NA,NA,1,-95.9051875555556,18.8645838888889
"116_cluster","GRACE","pre","extended",13,13,13,NA,0,0,0,NA,13,13,13,NA,1,-95.9051875555556,18.8645838888889
"125_cluster","BETA","post","subacute",14,14,14,NA,0,0,0,NA,NA,NA,NA,NA,1,-96.9396677142857,27.9797837142857
"125_cluster","BETA","pre","extended",13,4,8,4,13,4,8,4,NA,NA,NA,NA,2,-96.9396677142857,27.9797837142857
"125_cluster","NICHOLAS","post","subacute",48,48,48,NA,48,48,48,NA,NA,NA,NA,NA,1,-96.9396677142857,27.9797837142857
"125_cluster","NICHOLAS","pre","extended",22,1,12,10,22,1,12,10,NA,NA,NA,NA,2,-96.9396677142857,27.9797837142857
"12_cluster","FRANCINE","post","acute",20,20,20,NA,0,0,0,NA,20,20,20,NA,1,-91.1851219662921,30.4586581235955
"12_cluster","FRANCINE","pre","acute",3,3,3,NA,0,0,0,NA,3,3,3,NA,1,-91.1851219662921,30.4586581235955
"12_cluster","FRANCINE","pre","extended",29,29,29,NA,0,0,0,NA,29,29,29,NA,1,-91.1851219662921,30.4586581235955
"13_cluster","BARRY","post","subacute",32,8,20,12,0,0,0,0,32,8,20,12,2,-89.327391636076,30.3068862373418
"13_cluster","BARRY","pre","extended",4,2,3,1,0,0,0,0,4,2,3,1,3,-89.327391636076,30.3068862373418
"13_cluster","FRANCINE","post","extended",5,2,4,1,4,0,2,2,2,2,2,NA,2,-89.327391636076,30.3068862373418
"13_cluster","FRANCINE","pre","extended",9,7,8,1,0,0,0,0,9,7,8,1,2,-89.327391636076,30.3068862373418
"13_cluster","IDA","post","extended",12,2,7,2,12,2,7,2,NA,NA,NA,NA,5,-89.327391636076,30.3068862373418
"13_cluster","IDA","post","subacute",1,1,1,NA,1,1,1,NA,NA,NA,NA,NA,1,-89.327391636076,30.3068862373418
"13_cluster","IDA","pre","extended",4,4,4,NA,4,4,4,NA,NA,NA,NA,NA,1,-89.327391636076,30.3068862373418
"13_cluster","IDA","pre","subacute",3,3,3,NA,3,3,3,NA,NA,NA,NA,NA,1,-89.327391636076,30.3068862373418
"13_cluster","MARCO","post","acute",1,1,1,0,1,0,1,0,NA,NA,NA,NA,3,-89.327391636076,30.3068862373418
"13_cluster","MARCO","post","extended",23,1,7,5,23,1,8,5,NA,NA,NA,NA,4,-89.327391636076,30.3068862373418
"13_cluster","MARCO","post","subacute",2,2,2,NA,2,2,2,NA,NA,NA,NA,NA,1,-89.327391636076,30.3068862373418
"13_cluster","MARCO","pre","extended",1,1,1,NA,0,0,0,NA,1,1,1,NA,1,-89.327391636076,30.3068862373418
"13_cluster","NESTOR","during","acute",46,46,46,NA,46,46,46,NA,NA,NA,NA,NA,1,-89.327391636076,30.3068862373418
"13_cluster","NESTOR","post","extended",12,12,12,NA,0,0,0,NA,12,12,12,NA,1,-89.327391636076,30.3068862373418
"13_cluster","NESTOR","pre","extended",74,3,20,14,0,0,0,0,74,3,20,14,5,-89.327391636076,30.3068862373418
"13_cluster","NESTOR","pre","subacute",35,35,35,NA,35,35,35,NA,NA,NA,NA,NA,1,-89.327391636076,30.3068862373418
"13_cluster","OLGA","post","subacute",12,12,12,NA,0,0,0,NA,12,12,12,NA,1,-89.327391636076,30.3068862373418
"13_cluster","OLGA","pre","extended",35,3,19,16,35,0,18,18,3,3,3,NA,2,-89.327391636076,30.3068862373418
"13_cluster","OLGA","pre","subacute",46,46,46,NA,46,46,46,NA,NA,NA,NA,NA,1,-89.327391636076,30.3068862373418
"13_cluster","SALLY","post","acute",2,1,2,0,3,1,2,1,NA,NA,NA,NA,2,-89.327391636076,30.3068862373418
"13_cluster","SALLY","post","subacute",2,2,2,NA,3,3,3,NA,NA,NA,NA,NA,1,-89.327391636076,30.3068862373418
"13_cluster","SALLY","pre","extended",2,1,1,0,2,0,1,0,NA,NA,NA,NA,4,-89.327391636076,30.3068862373418
"13_cluster","SALLY","pre","subacute",23,23,23,NA,23,23,23,NA,NA,NA,NA,NA,1,-89.327391636076,30.3068862373418
"142_cluster","DELTA","post","subacute",244,244,244,NA,0,0,0,NA,244,244,244,NA,1,-90.0183771666667,29.9533323333333
"142_cluster","DELTA","pre","acute",659,659,659,NA,0,0,0,NA,659,659,659,NA,1,-90.0183771666667,29.9533323333333
"14_cluster","NICHOLAS","post","extended",112,112,112,NA,106,106,106,NA,NA,NA,NA,NA,1,-94.9880913166667,29.59547585
"14_cluster","NICHOLAS","post","subacute",64,8,36,28,0,0,0,0,64,8,36,28,2,-94.9880913166667,29.59547585
"14_cluster","NICHOLAS","pre","extended",160,160,160,NA,0,0,0,NA,160,160,160,NA,1,-94.9880913166667,29.59547585
"158_cluster","NICHOLAS","post","extended",25,25,25,NA,0,0,0,NA,25,25,25,NA,1,-95.0196019375,29.55516275
"158_cluster","NICHOLAS","post","subacute",13,13,13,NA,18,18,18,NA,NA,NA,NA,NA,1,-95.0196019375,29.55516275
"158_cluster","NICHOLAS","pre","extended",21,0,10,10,21,0,10,10,0,0,0,NA,2,-95.0196019375,29.55516275
"159_cluster","MINDY","post","extended",0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,1,-85.3101902857143,29.6827152857143
"159_cluster","MINDY","pre","extended",0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,1,-85.3101902857143,29.6827152857143
"159_cluster","MINDY","pre","subacute",0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,1,-85.3101902857143,29.6827152857143
