"site_id","name","max_usa_wind_kt","min_usa_wind_kt","max_rmw_m","min_rmw_m","max_roci_m","min_roci_m","max_r_nw_m","max_r_ne_m","max_r_sw_m","max_r_se_m","max_speed_kt","min_speed_kt","min_usa_pres","max_usa_sshs","min_usa_sshs","min_dist_to_track_m","min_dist2land_km","peak_status"
"109_cluster","GRACE",105,95,37040,27780,333360,333360,203720,277800,148160,203720,15,13,967,3,2,182534.569726939,107,"Hurricane"
"111_cluster","BETA",55,25,148160,37040,351880,259280,259280,314840,74080,74080,13,4,998,0,-4,69096.6351727806,0,"Tropical Storm"
"111_cluster","HANNA",80,33,129640,46300,277800,259280,148160,185200,92600,185200,9,7,993,1,-1,141247.169148316,219,"Tropical Storm"
"111_cluster","NICHOLAS",65,23,185200,92600,296320,222240,92600,222240,74080,296320,15,6,1003,1,-3,74990.0086122694,22,"Hurricane"
"116_cluster","GRACE",105,95,37040,27780,333360,333360,203720,277800,148160,203720,15,13,967,3,2,215663.230599189,107,"Hurricane"
"125_cluster","BETA",55,25,148160,37040,351880,259280,259280,314840,74080,74080,13,4,998,0,-4,80161.6107280236,0,"Tropical Storm"
"125_cluster","NICHOLAS",65,23,185200,92600,296320,222240,92600,222240,74080,296320,15,6,1003,1,-3,82378.8656006172,22,"Hurricane"
"12_cluster","FRANCINE",80,20,185200,55560,370400,240760,296320,166680,259280,259280,15,9,982,1,-3,104025.340102123,9,"Hurricane"
"13_cluster","BARRY",65,30,148160,111120,370400,333360,129640,166680,240760,277800,7,4,993,1,-3,287521.379650885,59,"Tropical Storm"
"13_cluster","FRANCINE",80,20,185200,55560,370400,240760,296320,166680,259280,259280,15,9,982,1,-3,109142.975014997,9,"Hurricane"
"13_cluster","IDA",130,85,37040,37040,333360,277800,203720,240760,148160,222240,15,14,967,4,2,182650.782661938,296,"Hurricane"
"13_cluster","MARCO",65,35,129640,33336,277800,166680,111120,166680,55560,129640,12,10,995,1,0,180159.900636412,80,"Tropical Storm"
"13_cluster","NESTOR",50,38,287060,185200,416700,277800,111120,277800,185200,296320,21,9,998,0,-3,330306.964498405,189,"Tropical Storm"
"13_cluster","OLGA",45,43,101860,101860,370400,333360,222240,148160,222240,37040,26,17,996,0,-4,283977.564366926,279,"Tropical Storm"
"13_cluster","SALLY",95,35,111120,37040,333360,259280,185200,203720,148160,203720,11,3,975,2,0,167093.911395484,32,"Hurricane"
"142_cluster","DELTA",105,78,55560,27780,407440,370400,203720,259280,148160,259280,18,14,970,3,1,343609.016415581,80,"Hurricane"
"14_cluster","NICHOLAS",65,23,185200,92600,296320,222240,92600,222240,74080,296320,15,6,1003,1,-3,9823.37083645278,22,"Hurricane"
"158_cluster","NICHOLAS",65,23,185200,92600,296320,222240,92600,222240,74080,296320,15,6,1003,1,-3,14498.3106603778,22,"Hurricane"
"159_cluster","MINDY",50,40,55560,55560,166680,166680,0,0,0,74080,17,16,1001,0,0,23502.8769621436,22,"Tropical Storm"
"17_cluster","BERYL",70,50,74080,51856,370400,333360,166680,203720,111120,185200,13,11,986,1,0,157434.544438166,165,"Tropical Storm"
"17_cluster","BETA",55,25,148160,37040,351880,259280,259280,314840,74080,74080,13,4,998,0,-4,135259.12090319,0,"Tropical Storm"
"17_cluster","HANNA",80,33,129640,46300,277800,259280,148160,185200,92600,185200,9,7,993,1,-1,98265.488124017,219,"Tropical Storm"
"17_cluster","IMELDA",40,40,55560,55560,277800,277800,NA,NA,NA,NA,8,8,1008,0,0,190660.052369669,44,"Tropical Depression"
"17_cluster","NICHOLAS",65,23,185200,92600,296320,222240,92600,222240,74080,296320,15,6,1003,1,-3,91389.5199428687,22,"Hurricane"
