"linked_id","site_id","site_name","name","survey_type","date_nurdle","next_date","days_between","fine_storm_phase","next_fine_storm_phase","next_fine_response","delta_old","rate_old","direction_old","delta_new","rate_new","direction_new","delta_total","rate_total","direction_total"
"109_cluster_GRACE","109_cluster","Vicente Fox area, Mexico","GRACE","storm_influenced",2021-07-27,2021-08-28,32,"pre","post","subacute",6,0.1875,"accumulation",0,0,"no_change",6,0.1875,"accumulation"
"111_cluster_BETA","111_cluster","Cedar Bayou area, Texas","BETA","storm_influenced",2020-08-28,2020-09-03,6,"pre","pre","extended",NA,NA,"no_change",-15,-2.5,"depletion",-15,-2.5,"depletion"
"111_cluster_BETA","111_cluster","Cedar Bayou area, Texas","BETA","storm_influenced",2020-09-03,2020-10-01,28,"pre","post","subacute",NA,NA,"no_change",-2,-0.0714285714285714,"depletion",27,0.964285714285714,"accumulation"
"111_cluster_HANNA","111_cluster","Cedar Bayou area, Texas","HANNA","storm_influenced",2020-06-29,2020-07-07,8,"pre","pre","extended",NA,NA,"no_change",-4,-0.5,"depletion",-4,-0.5,"depletion"
"111_cluster_HANNA","111_cluster","Cedar Bayou area, Texas","HANNA","storm_influenced",2020-07-07,2020-07-23,16,"pre","pre","acute",NA,NA,"no_change",0,0,"no_change",0,0,"no_change"
"111_cluster_HANNA","111_cluster","Cedar Bayou area, Texas","HANNA","storm_influenced",2020-07-23,2020-08-13,21,"pre","post","extended",NA,NA,"no_change",3,0.142857142857143,"accumulation",3,0.142857142857143,"accumulation"
"111_cluster_NICHOLAS","111_cluster","Cedar Bayou area, Texas","NICHOLAS","storm_influenced",2021-08-19,2021-08-26,7,"pre","pre","extended",NA,NA,"no_change",-32,-4.57142857142857,"depletion",-32,-4.57142857142857,"depletion"
"111_cluster_NICHOLAS","111_cluster","Cedar Bayou area, Texas","NICHOLAS","storm_influenced",2021-08-26,2021-09-02,7,"pre","pre","extended",NA,NA,"no_change",-1,-0.142857142857143,"depletion",-1,-0.142857142857143,"depletion"
"111_cluster_NICHOLAS","111_cluster","Cedar Bayou area, Texas","NICHOLAS","storm_influenced",2021-09-02,2021-09-23,21,"pre","post","subacute",NA,NA,"no_change",72,3.42857142857143,"accumulation",72,3.42857142857143,"accumulation"
"111_cluster_NICHOLAS","111_cluster","Cedar Bayou area, Texas","NICHOLAS","storm_influenced",2021-09-23,2021-09-30,7,"post","post","extended",NA,NA,"no_change",19,2.71428571428571,"accumulation",19,2.71428571428571,"accumulation"
"111_cluster_NICHOLAS","111_cluster","Cedar Bayou area, Texas","NICHOLAS","storm_influenced",2021-09-30,2021-10-07,7,"post","post","extended",NA,NA,"no_change",22,3.14285714285714,"accumulation",22,3.14285714285714,"accumulation"
"116_cluster_GRACE","116_cluster","Arbolillo, Mexico","GRACE","storm_influenced",2021-07-27,2021-08-28,32,"pre","post","subacute",NA,NA,"no_change",11,0.34375,"accumulation",-2,-0.0625,"depletion"
"125_cluster_BETA","125_cluster","San Jose fence line 4 area, Texas","BETA","storm_influenced",2020-08-28,2020-09-03,6,"pre","pre","extended",NA,NA,"no_change",-9,-1.5,"depletion",-9,-1.5,"depletion"
"125_cluster_BETA","125_cluster","San Jose fence line 4 area, Texas","BETA","storm_influenced",2020-09-03,2020-10-01,28,"pre","post","subacute",NA,NA,"no_change",-4,-0.142857142857143,"depletion",10,0.357142857142857,"accumulation"
"125_cluster_NICHOLAS","125_cluster","San Jose fence line 4 area, Texas","NICHOLAS","storm_influenced",2021-08-19,2021-09-02,14,"pre","pre","extended",NA,NA,"no_change",-21,-1.5,"depletion",-21,-1.5,"depletion"
"125_cluster_NICHOLAS","125_cluster","San Jose fence line 4 area, Texas","NICHOLAS","storm_influenced",2021-09-02,2021-09-23,21,"pre","post","subacute",NA,NA,"no_change",47,2.23809523809524,"accumulation",47,2.23809523809524,"accumulation"
"12_cluster_FRANCINE","12_cluster","Capitol Lake area, Louisiana","FRANCINE","storm_influenced",2024-08-23,2024-09-09,17,"pre","pre","acute",-26,-1.52941176470588,"depletion",0,0,"no_change",-26,-1.52941176470588,"depletion"
"12_cluster_FRANCINE","12_cluster","Capitol Lake area, Louisiana","FRANCINE","storm_influenced",2024-09-09,2024-09-16,7,"pre","post","acute",17,2.42857142857143,"accumulation",0,0,"no_change",17,2.42857142857143,"accumulation"
"13_cluster_BARRY","13_cluster","SSC Beach area, Mississippi","BARRY","storm_influenced",2019-06-14,2019-06-20,6,"pre","pre","extended",-1,-0.166666666666667,"depletion",0,0,"no_change",-1,-0.166666666666667,"depletion"
"13_cluster_BARRY","13_cluster","SSC Beach area, Mississippi","BARRY","storm_influenced",2019-06-20,2019-06-25,5,"pre","pre","extended",-1,-0.2,"depletion",0,0,"no_change",-1,-0.2,"depletion"
