"year","fine_storm_phase","sum_abundance_total","max_abundance_total","min_abundance_total","mean_abundance_total","se_total","median_abundance_total","q1_abundance_total","q3_abundance_total","sum_abundance_new","max_abundance_new","min_abundance_new","mean_abundance_new","se_new","median_abundance_new","q1_abundance_new","q3_abundance_new","sum_abundance_old","max_abundance_old","min_abundance_old","mean_abundance_old","se_old","median_abundance_old","q1_abundance_old","q3_abundance_old","n_surveys"
2018,"control",1533,190,0,48,8,36,16,67,123,123,0,4,4,0,0,0,1410,190,0,44,7,33,16,65,32
2019,"control",13178,253,0,46,3,34,16,64,6932,253,0,24,3,0,0,35,8151,276,0,29,2,14,0,41,285
2019,"during",113,67,46,56,10,56,51,62,46,46,0,23,23,23,12,34,67,67,0,34,34,34,17,50,2
2019,"post",42434,30846,0,801,597,35,14,89,1642,155,0,31,6,0,0,51,41024,30846,0,774,598,0,0,32,53
2019,"pre",23545,9628,0,420,228,22,4,52,944,162,0,17,4,0,0,19,22810,9628,0,407,229,2,0,26,56
2020,"control",7354,1398,0,55,11,28,7,74,4521,191,0,34,4,10,0,52,3098,1398,0,23,11,0,0,11,134
2020,"post",8012,1675,0,120,34,25,4,70,3287,1687,0,49,27,0,0,13,6023,1675,0,90,31,9,0,46,67
2020,"pre",10557,6945,0,230,154,12,3,40,8017,6945,0,174,151,4,0,16,2753,1667,0,60,39,0,0,5,46
2021,"control",7873,2946,0,43,16,12,2,27,6218,2946,0,34,16,2,0,16,2521,252,0,14,3,0,0,14,183
2021,"during",24,24,24,24,NA,24,24,24,0,0,0,0,NA,0,0,0,24,24,24,24,NA,24,24,24,1
2021,"post",1392,193,0,37,7,12,6,59,1227,193,0,32,8,7,0,48,308,118,0,8,4,0,0,6,38
2021,"pre",845,253,0,35,13,10,2,24,438,253,0,18,10,2,0,21,407,160,0,17,9,0,0,0,24
2022,"control",2875,238,0,27,4,10,4,22,1723,210,0,16,4,0,0,16,1518,238,0,14,3,3,0,12,107
2022,"post",50,50,50,50,NA,50,50,50,0,0,0,0,NA,0,0,0,50,50,50,50,NA,50,50,50,1
2022,"pre",19,16,3,10,6,10,6,13,0,0,0,0,0,0,0,0,19,16,3,10,6,10,6,13,2
2023,"control",2002,319,0,24,5,8,3,26,648,114,0,8,2,0,0,2,1532,319,0,18,5,4,0,19,83
2024,"control",1723,144,0,31,5,15,4,40,941,144,0,17,5,0,0,10,844,129,0,15,3,4,0,21,56
2024,"post",84,42,0,14,6,10,3,19,46,42,0,8,7,0,0,3,44,20,0,7,3,4,0,13,6
2024,"pre",167,97,0,15,9,5,1,12,118,97,0,11,9,0,0,3,50,29,0,5,3,1,0,5,11
2025,"control",410,60,0,22,5,21,2,39,6,3,0,0,0,0,0,0,431,60,0,23,5,21,2,41,19
