"site_id","name","fine_storm_phase","sum_abundance_total","max_abundance_total","min_abundance_total","mean_abundance_total","se_total","median_abundance_total","q1_abundance_total","q3_abundance_total","sum_abundance_new","max_abundance_new","min_abundance_new","mean_abundance_new","se_new","median_abundance_new","q1_abundance_new","q3_abundance_new","sum_abundance_old","max_abundance_old","min_abundance_old","mean_abundance_old","se_old","median_abundance_old","q1_abundance_old","q3_abundance_old","n_surveys","cluster_lat","cluster_lon"
1,"CRISTOBAL","post",1,1,1,1,NA,1,1,1,0,0,0,0,NA,0,0,0,1,1,1,1,NA,1,1,1,1,30.392169,-88.87024
1,"CRISTOBAL","pre",0,0,0,0,NA,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,NA,0,0,0,1,30.392169,-88.87024
2,"ZETA","post",4,4,4,4,NA,4,4,4,0,0,0,0,NA,0,0,0,4,4,4,4,NA,4,4,4,1,30.3319025,-89.184796
2,"ZETA","pre",19,19,19,19,NA,19,19,19,0,0,0,0,NA,0,0,0,19,19,19,19,NA,19,19,19,1,30.3319025,-89.184796
3,"BARRY","post",40,32,8,20,12,20,14,26,0,0,0,0,0,0,0,0,40,32,8,20,12,20,14,26,2,30.3068862373418,-89.327391636076
3,"BARRY","pre",9,4,2,3,1,3,2,4,0,0,0,0,0,0,0,0,9,4,2,3,1,3,2,4,3,30.3068862373418,-89.327391636076
3,"FRANCINE","post",7,5,2,4,1,4,3,4,4,4,0,2,2,2,1,3,9,7,2,4,2,4,3,6,2,30.3068862373418,-89.327391636076
3,"FRANCINE","pre",16,9,7,8,1,8,8,8,0,0,0,0,0,0,0,0,16,9,7,8,1,8,8,8,2,30.3068862373418,-89.327391636076
3,"IDA","post",36,12,1,6,2,6,3,8,36,12,1,6,2,6,3,8,0,0,0,0,0,0,0,0,6,30.3068862373418,-89.327391636076
3,"IDA","pre",7,4,3,4,0,4,3,4,7,4,3,4,0,4,3,4,0,0,0,0,0,0,0,0,2,30.3068862373418,-89.327391636076
3,"MARCO","post",33,23,1,4,3,2,1,2,34,23,0,4,3,2,1,3,10,3,0,1,0,2,0,2,8,30.3068862373418,-89.327391636076
3,"MARCO","pre",1,1,1,1,NA,1,1,1,0,0,0,0,NA,0,0,0,1,1,1,1,NA,1,1,1,1,30.3068862373418,-89.327391636076
3,"NESTOR","during",46,46,46,46,NA,46,46,46,46,46,46,46,NA,46,46,46,0,0,0,0,NA,0,0,0,1,30.3068862373418,-89.327391636076
3,"NESTOR","post",12,12,12,12,NA,12,12,12,0,0,0,0,NA,0,0,0,12,12,12,12,NA,12,12,12,1,30.3068862373418,-89.327391636076
3,"NESTOR","pre",134,74,3,22,11,10,3,30,35,35,0,6,6,0,0,0,99,74,0,16,12,4,3,12,6,30.3068862373418,-89.327391636076
3,"OLGA","post",12,12,12,12,NA,12,12,12,0,0,0,0,NA,0,0,0,12,12,12,12,NA,12,12,12,1,30.3068862373418,-89.327391636076
3,"OLGA","pre",84,46,3,28,13,35,19,40,81,46,0,27,14,35,18,40,3,3,0,1,1,0,0,2,3,30.3068862373418,-89.327391636076
3,"SALLY","post",5,2,1,2,0,2,2,2,7,3,1,2,1,3,2,3,5,2,1,2,0,2,2,2,3,30.3068862373418,-89.327391636076
3,"SALLY","pre",28,23,1,6,4,1,1,2,27,23,0,5,4,1,1,2,5,3,0,1,1,0,0,2,5,30.3068862373418,-89.327391636076
3,NA,"control",1417,88,1,13,1,8,4,15,1091,115,0,10,2,5,0,11,470,69,0,4,1,0,0,5,113,30.3068862373418,-89.327391636076
