"plant_name","street","city","state","zip","lat","long"
"Gulf Coast Growth Ventures LLC","4589 Farm to Market 2986","Gregory","TX",78359,27.9182649,-97.312067
"Formosa Plastics Corp","201 Formosa Drive","Point Comfort","TX",77978,28.65028,-96.53972
"Union Carbide Corp Seadrift","7501 North Highway 185","Seadrift","TX",77983,28.5102519,-96.7804177
"Equistar Chemicals","2699 OLD BLOOMINGTON Road North","VICTORIA","TX",77905,28.6880794,-96.9418489
"Equistar Chemicals LP - Matagorda","17042 TX-60 South","Bay City","TX",77414,28.980538,-95.965091
"Dow Chemical Co - Freeport Facility","2301 North BRAZOSPORT Boulevard","Freeport","TX",77541,28.9825006,-95.377138
"Braskem America Inc - Oyster Creek Plant","5005 East Highway 332","Freeport","TX",77541,28.9950876,-95.3647883
"Shintech Inc","5618 Highway 332 East","Freeport","TX",77541,28.9919913,-95.3578173
"3M Angleton","1508 EAST CEDAR street","Angleton","TX",77515,29.1694876,-95.4145823
"LyondellBasell Chocolate Bayou Site","16042 Farm to Market 2004","Alvin","TX",77511,29.23226,-95.19206
"Nippon Shokubai America Industries","4631 Old Texas  146 Suite A","Pasadena","TX",77507,29.60388,-95.01905
"Kuraray America Inc-Septon Bu","11414 CHOATE Road","Pasadena","TX",77507,29.6195099,-95.0393521
"Kuraray America - Eval Bu","11500 BAY AREA Boulevard","Pasadena","TX",77507,29.630615,-95.046024
"Kaneka North America LLC","6161 UNDERWOOD Road","Pasadena","TX",77507,29.6174468,-95.0877382
"Kuraray America Bayport","13100 BAY AREA Boulevard","Pasadena","TX",77507,29.6024995,-95.0686251
"Bayport Polymers LLC - HDPE Plant","12212 Port Road","Pasadena","TX",77507,29.63567,-95.05097
"Kuraray America Inc","12342 STRANG Road","La Porte","TX",77571,29.7024626,-95.0439826
"Braskem America Inc - La Porte Site","8811 STRANG Road","La Porte","TX",77571,29.7018371,-95.0821243
"Lyondellbasell Acetyls LLC","1350 MILLER CUT OFF Road","La Porte","TX",77571,29.6989722,-95.0668468
"Equistar Chemicals LP","1515 MILLER CUT OFF Road","La Porte","TX",77571,29.6970113,-95.0670561
"INEOS","1230 independence Parkway","La Porte","TX",77571,29.72035,-95.08933
"TotalEnergies Petrochemicals & Refining USA, Inc","1818 Independence Parkway","La Porte","TX",77571,29.72852,-95.08947
"Oxy Vinyls LP Deer Park Caustic","1000 TIDAL Road","Deer Park","TX",77536,29.7105117,-95.1131544
"Oxy Vinyls LP Pasadena PVC Plant","4403 PASADENA Freeway","Pasadena","TX",77503,29.7122119,-95.1644946
"Sekisui Specialty Chemicals America LLC Pasadena Plant","11423 PASADENA Freeway","Pasadena","TX",77506,29.7125658,-95.1778458
"Chevron Phillips Chemical Co-Pasadena Plastics Complex","1400 Jefferson Road","Pasadena","TX",77506,29.7354816,-95.1818249
"Covestro LLC","8500 West BAY Road","Baytown","TX",77523,29.7568189,-94.9100971
"ExxonMobil Polyethylene Plant","11440 US-90","Beaumont","TX",77713,30.06348,-94.23179
"Chevron Phillips Chemical Co-Orange","5309 Farm to Market 1006","Orange","TX",77630,30.0539776,-93.7878615
"Dow Sabine River Operations","2735 Farm to Market 1006","Orange","TX",77630,30.0539776,-93.7878615
"Solvay Specialty Polymers USA LLC","4059 Farm to Market 1006","Orange","TX",77630,30.0539776,-93.7878615
"Westlake Petrochemicals Sulphur","900 LA-108","Sulphur","LA",70665,30.2130862,-93.325393
"LyondellBasell","4101 LA-108","Westlake","LA",70669,30.19719,-93.32316
"St Charles Operations Union Carbide Corp","355 LA-3142","Hahnville","LA",70057,29.98525,-90.45374
"Pinnacle Polymers","1 pinnacle ave","Garryville","LA",70051,30.07037,-90.60437
"AmSty","9901 LA-18","Saint James","LA",70086,30.0359551,-90.8436957
"Westlake Geismar","36045 East Highway 30","Geismar","LA",70734,30.21878,-91.00632
"TotalEnergies Petrochemicals & Refining USA Inc","6325 LA-75","Carville","LA",70721,30.2195735,-91.0723323
"SABIC","3531 Port and Harbor Drive","Bay St Louis","MS",39520,30.21546,-89.57537
"DAK Americas Pearl River Site","3303 Port and Harbor Drive","Bay St Louis","MS",39520,30.23096,-89.55819
"Arkema Axis","13755 US-43","Axis","AL",36505,30.9345062,-88.0256992
"Ascend Performance Materials","3000 Old Chemstrand Road","Cantonment","FL",32533,31.52732,-87.20857
